YEAR     JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     DJF     MAM     JJA     SON     ANN
1756    -2.6   -0.8   -0.6    0.7    5.2   15.2   16.4   12.8   10.7    5.6   -1.7   -2.4   -2.23   -0.23   12.27    9.70    4.87
1757    -6.7   -1.9   -1.8    6.9    9.1   16.0   20.3   15.2   10.9    3.1    2.4   -2.7   -2.33    1.07   15.13    9.73    5.90
1758    -5.8   -5.3   -3.2    2.0    9.9   14.8   17.0   16.4    9.1    3.7    2.5   -4.7   -2.67   -2.17   13.90    9.73    4.70
1759    -0.9    0.5    0.5    4.4    7.2   16.5   18.5   17.2   10.6    5.9    0.3   -5.2   -1.93    1.80   14.07   11.23    6.29
1760   -10.4   -3.1   -2.4    3.3    9.8   15.2   17.6   16.0   13.9    5.0    0.5   -2.3   -4.07   -0.73   14.20   11.63    5.26
1761    -2.3   -3.7    1.8    4.8   10.7   17.9   17.5   17.0   12.8    3.6    1.7   -3.3   -1.30    0.97   15.37   11.13    6.54
1762    -0.5   -2.8   -3.8    5.7   10.5   18.0   16.4   13.8   10.4    1.2    3.1   -2.1    0.17   -0.30   14.97    8.47    5.82
1763    -5.9   -4.1   -4.3    2.2    9.9   15.4   18.8   16.2    9.6    5.3   -0.4   -2.0   -2.77   -2.07   14.70   10.37    5.06
1764    -2.4    0.6    0.5    4.5   10.1   13.6   20.6   15.4   10.6    5.7   -0.2   -3.2   -1.93    1.87   14.77   10.57    6.32
1765    -3.6   -3.8    0.0    4.7    8.2   14.6   16.1   16.2   10.4    6.2    3.4   -2.5   -0.90    0.30   12.97   10.93    5.83
1766    -5.4   -4.9    0.5    6.9   10.0   16.5   19.0   16.3   12.4    6.7    4.5   -3.9   -1.60    0.83   15.17   11.80    6.55
1767   -11.1   -6.5   -1.1    1.7    8.8   14.1   16.1   18.4   14.4    6.7    4.2   -2.9   -3.27   -1.97   13.00   13.17    5.23
1768    -5.0   -4.1   -4.4    3.4    8.3   14.2   17.0   15.9    9.9    5.0    1.5    1.5   -0.67   -1.70   13.17   10.27    5.27
1769    -1.5   -2.6   -0.5    3.8    8.6   15.3   16.9   14.8   11.3    2.7   -0.6   -3.4   -1.83    0.23   13.60    9.60    5.40
1770    -4.9   -2.2   -8.3    3.0    9.5   14.8   17.3   17.7   13.6    9.9    0.0   -1.7   -2.20   -2.50   13.87   13.73    5.73
1771    -7.5   -8.3   -6.9    1.7   10.0   16.7   17.2   14.5   11.5    7.1    0.9    0.1   -2.17   -4.50   14.63   11.03    4.75
1772    -4.1  -13.1   -6.0    2.2    6.6   14.7   18.0   16.2   11.4    9.6    5.5    0.7    0.70   -5.63   13.10   12.40    5.14
1773    -2.9   -2.5    0.0    5.9   11.7   14.8   19.2   18.4   13.6    8.6    4.3   -1.6   -0.07    1.13   15.23   13.53    7.46
1774   -11.7   -3.6   -1.5    4.2   11.6   18.2   19.1   17.1   12.1    6.9   -4.9   -3.7   -6.77   -0.30   16.30   12.03    5.32
1775    -4.5   -1.7    0.6    4.4   10.8   17.4   20.3   19.3   15.7    9.9    0.6    0.0   -1.30    1.10   16.17   14.97    7.73
1776    -8.8   -1.4   -1.0    3.2    7.8   17.2   19.9   17.3   12.1    7.6    3.1   -0.5   -2.07    0.27   14.97   12.33    6.38
1777    -5.5   -5.9   -3.3    2.8   11.0   14.8   15.9   16.2   11.1    5.8    2.8   -1.1   -1.27   -2.13   13.90   11.03    5.38
1778    -5.1   -3.2   -2.2    5.1   10.1   15.2   18.9   16.3   11.6    1.6    1.3   -0.6   -1.47   -0.10   14.73    9.83    5.75
