Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1784,,,,,,,,,0.5,-3.5,-8.3,-3.2,,,,-3.77,
1785,-12.6,-12.5,-4.0,-5.8,-0.4,2.8,6.7,7.7,2.5,0.0,-5.9,-7.7,-9.43,-3.4,5.73,-1.13,-2.43
1786,-8.2,-7.6,-5.1,0.8,3.0,4.9,8.6,7.0,2.7,-0.4,3.1,-6.1,-7.83,-0.43,6.83,1.8,0.22
1787,-11.2,-10.9,-9.5,-1.3,1.7,7.4,,,,,,,-9.4,-3.03,,,
1788,,,,,,,,,,,-3.3,-0.6,,,,,
1789,-5.0,-11.3,-6.1,-2.6,1.1,5.9,8.7,5.9,3.7,-1.1,-1.4,-9.2,-5.63,-2.53,6.83,0.4,-0.95
1790,-10.4,-10.5,-10.1,-3.5,0.1,4.0,7.1,8.3,2.5,-1.0,-4.0,-10.7,-10.03,-4.5,6.47,-0.83,-2.35
1791,-18.2,-10.8,-11.7,-0.5,-2.3,4.5,6.5,5.9,5.7,-0.6,-4.5,-8.0,-13.23,-4.83,5.63,0.2,-2.83
1792,-9.7,-8.5,-9.2,-2.6,0.6,3.0,,,,,,,-8.73,-3.73,,,
1793,,,,,,,,,,,,,,,,,
1794,,,,,,,,,,,,,,,,,
1795,,,,,,,,,,,,,,,,,
1796,,,,,,,,,,-4.5,-3.6,-5.4,,,,,
1797,-9.9,-13.4,-10.1,-8.2,1.2,3.8,7.0,6.5,2.9,0.0,-2.7,-7.1,-9.57,-5.7,5.77,0.07,-2.5
1798,-12.6,-10.3,-4.3,-5.7,0.2,2.9,5.6,4.9,1.3,-2.1,-4.5,-8.8,-10.0,-3.27,4.47,-1.77,-2.78
1799,-11.5,-7.2,-11.8,-5.2,0.2,2.4,,,2.7,-1.9,-6.7,-2.2,-9.17,-5.6,,-1.97,
1800,-7.6,-10.6,-6.3,-6.6,1.7,4.9,5.6,6.0,1.4,-0.7,-5.4,-8.1,-6.8,-3.73,5.5,-1.57,-2.14
1801,-12.1,-8.3,-9.2,-7.0,-2.8,1.3,6.2,6.0,1.4,-1.3,-5.2,-5.8,-9.5,-6.33,4.5,-1.7,-3.07
1802,-8.7,-14.5,-13.9,-9.1,-0.7,,,,,,,,-9.67,-7.9,,,
1803,,,,,,,,,,,,,,,,,
1804,,,,,,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,
1806,,,,,,,,,,,-6.2,-11.9,,,,,
1807,-5.7,-10.9,-1.0,-3.9,,,,,,,,,-9.5,,,,
1808,,,,,,,,6.1,-2.4,-3.0,-6.1,-5.9,,,,-3.83,
1809,-4.7,-9.9,-6.1,-3.5,,,,,,-2.4,-3.4,-12.0,-6.83,,,,
1810,-10.3,-12.2,-8.3,-7.5,-0.2,2.7,6.6,,,,,,-11.5,-5.33,,,
1811,-13.7,-11.7,-16.7,-5.2,0.0,1.9,3.8,3.5,1.1,-5.1,-11.5,-5.9,,-7.3,3.07,-5.17,-4.96
1812,-7.4,-13.6,-7.6,-3.7,1.7,3.5,5.4,5.4,0.4,-3.8,-3.9,-4.8,-8.97,-3.2,4.77,-2.43,-2.37
1813,-12.5,-11.5,-17.3,-5.6,,,,,,,,,-9.6,,,,
1814,,,,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,,,
1816,-10.9,-6.9,-8.7,-3.3,-1.4,2.1,5.2,3.7,1.9,-1.5,-5.4,-16.8,,-4.47,3.67,-1.67,-3.5
1817,-13.1,-13.9,-14.5,-5.9,-1.9,2.4,3.1,4.5,1.4,-3.4,-6.2,-10.4,-14.6,-7.43,3.33,-2.73,-4.83
1818,-18.0,-17.2,-14.3,-2.6,-1.4,2.3,5.8,5.0,1.1,-3.8,-8.0,-8.7,-15.2,-6.1,4.37,-3.57,-4.98
1819,-14.5,-9.7,-9.7,-4.5,-1.4,2.1,4.2,2.0,-0.9,0.9,-3.8,-4.2,-10.97,-5.2,2.77,-1.27,-3.29
1820,-5.8,-10.7,-8.8,-8.5,1.0,4.2,3.9,2.9,1.0,-1.4,-3.5,-6.7,-6.9,-5.43,3.67,-1.3,-2.7
1821,-11.0,-10.2,-7.6,-4.5,-0.3,4.2,,,,,,,-9.3,-4.13,,,
1822,,,,,,,,,,,,,,,,,
1823,,,,,,,,,,,,,,,,,
1824,,,,,,,,,,,,,,,,,
1825,,,,,,,,,,,,,,,,,
1826,,,,,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,,,,
1828,,,,,,,,,,,,,,,,,
1829,,,,,,,,,,,,,,,,,
1830,,,,,,,,,,,-6.2,-6.0,,,,,
1831,-3.9,-7.1,-8.5,-2.1,1.7,,,,,,-3.3,-5.6,-5.67,-2.97,,,
1832,-10.3,-13.1,-15.7,-2.4,0.2,,,,,,,,-9.67,-5.97,,,
1833,,,,,,,,,,,,,,,,,
1834,,,,,,,,,,,,,,,,,
1835,,,,,,,,,,,,,,,,,
1836,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,
1838,,,,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,,,,
1840,,,,,,,,,,,,,,,,,
1841,,,,,,,,,2.4,-1.1,-5.8,-7.9,,,,-1.5,
1842,-9.6,-12.1,-10.7,-3.9,2.1,3.7,6.0,5.2,3.8,1.2,-5.8,-9.8,-9.87,-4.17,4.97,-0.27,-2.49
1843,-11.0,-4.7,-3.3,-3.1,1.2,4.7,6.9,5.7,3.9,0.8,-9.1,-13.1,-8.5,-1.73,5.77,-1.47,-1.76
1844,-11.1,-10.2,-10.0,-9.7,-2.0,,6.1,6.5,2.8,-1.2,-6.8,-8.2,-11.47,-7.23,,-1.73,
1845,-9.0,-10.0,-4.4,-2.8,0.0,3.7,7.9,7.4,3.3,-2.2,-4.3,-8.9,-9.07,-2.4,6.33,-1.07,-1.61
1846,-8.2,-6.5,-6.4,-3.3,0.5,,,,,,,,-7.87,-3.07,,,
1847,,,,,,,,,,-0.4,-9.2,-13.6,,,,,
1848,-11.2,-9.8,-6.2,-1.6,,,,,,-0.5,-0.1,-15.0,-11.53,,,,
1849,-11.9,-12.6,-9.0,-2.5,,,,,,,,,-13.17,,,,
1850,,,,,,,,,,,,,,,,,
1851,,,,,,,,,,,,,,,,,
1852,,,,,,,,,,,,,,,,,
1853,,,,,,,,,,,,,,,,,
1854,,,,,,,,,,,,,,,,,
1855,,,,,,,,,,,-3.9,-4.5,,,,,
1856,-6.1,-2.8,-3.5,-3.0,,,,,,,,,-4.47,,,,
1857,,,,,,,,,,,,,,,,,
1858,,,,,,,,,,,,-9.9,,,,,
1859,-12.7,-10.1,-8.2,-1.3,,,,,,,,,-10.9,,,,
1860,,,,,,,,,,,,,,,,,
1861,,,,,,,,,,,,,,,,,
1862,,,,,,,,,,,,,,,,,
1863,,,,,,,,,,,,,,,,,
1864,,,,,,,,,,,,,,,,,
1865,,,,,,,,,,,,,,,,,
1866,-14.4,-12.8,-8.0,-4.5,1.9,3.6,5.6,5.1,1.2,-5.7,-6.5,-10.4,,-3.53,4.77,-3.67,-3.74
1867,-5.7,-12.5,-7.1,-4.0,0.9,3.5,6.1,5.5,1.6,-1.8,-2.4,-7.4,-9.53,-3.4,5.03,-0.87,-1.94
1868,-9.3,-15.8,-11.7,-2.9,0.9,1.8,4.5,5.2,2.2,-4.0,-5.1,-8.5,-10.83,-4.57,3.83,-2.3,-3.56
1869,-12.1,-14.2,-5.6,-6.0,2.5,4.9,6.2,5.4,2.6,0.7,-4.6,-9.6,-11.6,-3.03,5.5,-0.43,-2.48
1870,-10.0,-7.5,-9.0,-7.0,0.3,3.0,6.0,7.4,1.2,-2.3,0.2,-3.7,-9.03,-5.23,5.47,-0.3,-1.78
1871,-10.7,-6.6,-11.4,-2.7,1.7,5.3,6.7,6.7,3.8,-0.5,-0.4,-4.0,-7.0,-4.13,6.23,0.97,-1.01
1872,-7.1,-4.4,-5.0,-1.4,1.7,4.3,7.2,7.9,5.1,0.1,-4.0,-6.7,-5.17,-1.57,6.47,0.4,-0.19
1873,-12.1,-7.6,-9.8,-2.4,2.6,3.7,7.4,5.6,2.4,-2.1,-3.2,-9.6,-8.8,-3.2,5.57,-0.97,-2.09
1874,-13.1,-8.6,-7.8,-4.6,1.9,3.6,6.0,5.8,2.5,-3.2,-3.6,-4.8,-10.43,-3.5,5.13,-1.43,-2.16
1875,-6.6,-8.0,-12.1,-2.3,-0.8,3.0,6.3,5.4,3.3,-0.6,-1.3,-6.1,-6.47,-5.07,4.9,0.47,-1.65
1876,-11.1,-9.2,-7.5,-3.1,0.7,4.2,5.9,6.1,3.8,0.0,-3.5,-4.6,-8.8,-3.3,5.4,0.1,-1.52
1877,-14.5,-9.6,-6.8,-3.0,1.8,4.7,6.1,7.7,5.5,-1.4,-5.8,-8.5,-9.57,-2.67,6.17,-0.57,-1.98
1878,-7.7,-7.3,-6.1,-3.3,0.7,4.4,7.3,5.9,2.0,-1.6,1.4,-0.9,-7.83,-2.9,5.87,0.6,-0.43
1879,-6.5,-8.6,-9.2,-1.0,0.6,3.8,5.9,6.7,1.1,-0.9,-3.0,-10.3,-5.33,-3.2,5.47,-0.93,-1.78
1880,-11.9,-14.2,-8.7,-3.8,-0.1,4.3,7.5,6.2,3.3,2.7,-4.0,-6.4,-12.13,-4.2,6.0,0.67,-2.09
1881,-2.7,-7.9,-6.6,0.1,1.8,4.0,4.9,4.7,1.8,-1.8,-5.0,-9.6,-5.67,-1.57,4.53,-1.67,-1.36
1882,-15.1,-11.7,-12.7,-5.1,0.5,4.0,5.6,4.6,2.5,-3.4,-5.9,-8.2,-12.13,-5.77,4.73,-2.27,-3.74
1883,-10.3,-15.6,-6.2,-5.8,0.0,2.1,6.1,5.0,2.9,-3.2,-5.9,-14.3,-11.37,-4.0,4.4,-2.07,-3.77
1884,-14.4,-16.7,-13.6,-3.6,-0.2,2.1,5.4,3.7,1.4,-3.6,-5.7,-10.4,-15.13,-5.8,3.73,-2.63,-4.63
1885,-7.3,-9.2,-6.3,-4.9,0.3,1.6,5.8,8.0,2.6,-1.5,-6.6,-6.3,-8.97,-3.63,5.13,-1.83,-1.98
1886,-11.5,-12.1,-8.2,-6.1,0.9,2.6,6.0,5.7,3.0,-1.9,-4.5,-8.6,-9.97,-4.47,4.77,-1.13,-2.89
1887,-12.9,-14.4,-11.2,-4.4,-0.2,3.7,6.5,6.1,2.7,-1.0,-2.8,-8.1,-11.97,-5.27,5.43,-0.37,-3.0
1888,-6.9,-9.2,-6.6,-2.5,1.6,6.3,6.6,7.1,2.6,0.6,-6.0,-9.6,-8.07,-2.5,6.67,-0.93,-1.33
1889,-11.0,-7.5,-7.0,-4.4,-0.4,2.2,7.1,6.0,3.4,-1.0,-6.0,-9.5,-9.37,-3.93,5.1,-1.2,-2.34
1890,-12.1,-11.3,-8.6,-3.1,-0.1,3.9,6.2,5.7,2.2,-1.6,-6.5,-6.4,-10.97,-3.93,5.27,-1.97,-2.64
1891,-9.8,-16.2,-7.1,-6.4,1.6,6.1,6.0,7.4,2.7,-3.2,-4.2,-8.2,-10.8,-3.97,6.5,-1.57,-2.61
1892,-8.8,-8.0,-6.9,-3.1,1.2,5.8,5.2,5.9,2.4,2.5,-5.1,-3.8,-8.33,-2.93,5.63,-0.07,-1.06
1893,-6.3,-8.4,-6.7,-5.4,-0.4,4.2,6.2,7.3,5.3,-0.5,-2.1,-10.8,-6.17,-4.17,5.9,0.9,-1.47
1894,-12.5,-13.8,-10.8,-7.0,1.4,1.8,6.8,6.0,2.9,0.2,-7.0,-9.4,-12.37,-5.47,4.87,-1.3,-3.45
1895,-4.3,-3.9,-4.3,-3.2,-0.2,3.4,7.6,6.1,2.9,1.2,-5.8,-7.8,-5.87,-2.57,5.7,-0.57,-0.69
1896,-10.8,-12.4,-9.4,-4.9,-2.1,3.5,5.2,6.2,2.3,1.3,-6.2,-10.4,-10.33,-5.47,4.97,-0.87,-3.14
1897,-9.2,-9.7,-6.2,-8.1,-1.0,5.3,5.8,5.6,3.4,0.2,-4.9,-7.8,-9.77,-5.1,5.57,-0.43,-2.22
1898,-12.4,-16.7,-7.8,-5.1,-0.5,3.3,4.4,4.1,1.2,-2.1,-7.6,-11.4,-12.3,-4.47,3.93,-2.83,-4.22
1899,-10.7,-10.7,-6.9,-3.4,0.7,4.7,6.0,6.0,3.0,-2.4,-6.1,-8.8,-10.93,-3.2,5.57,-1.83,-2.38
1900,-10.5,-5.3,-3.3,-5.6,1.6,5.5,7.8,7.5,2.7,-1.2,-6.2,-10.0,-8.2,-2.43,6.93,-1.57,-1.42
1901,-10.4,0.9,-6.2,-5.6,0.6,3.5,6.2,5.5,2.7,-1.9,-2.3,-6.0,-6.5,-3.73,5.07,-0.5,-1.08
1902,-9.5,-6.2,-9.3,-4.1,1.4,5.7,6.2,7.0,4.1,-0.4,-5.3,-9.8,-7.23,-4.0,6.3,-0.53,-1.68
1903,-9.3,-9.8,-12.5,-4.2,-1.1,3.3,5.8,6.2,4.3,0.7,-2.5,-3.4,-9.63,-5.93,5.1,0.83,-1.87
1904,-10.8,-10.0,-10.1,-8.6,0.0,5.3,6.4,7.6,2.1,-3.5,-3.5,-4.6,-8.07,-6.23,6.43,-1.63,-2.48
1905,-12.4,-8.7,-6.3,0.1,1.1,2.8,6.2,6.3,2.6,0.9,-2.6,-10.2,-8.57,-1.7,5.1,0.3,-1.68
1906,-11.9,-14.2,-7.7,-7.2,1.5,4.2,4.4,7.3,3.9,-1.7,-5.8,-8.4,-12.1,-4.47,5.3,-1.2,-2.97
1907,-10.7,-11.5,-14.0,-5.8,0.9,2.6,5.6,6.9,2.4,-0.5,-4.9,-10.0,-10.2,-6.3,5.03,-1.0,-3.25
1908,-10.3,-10.2,-7.5,-1.4,-0.3,3.1,8.2,6.0,4.8,-2.1,-3.5,-8.0,-10.17,-3.07,5.77,-0.27,-1.77
1909,-12.4,-9.0,-1.8,-2.8,1.9,6.0,6.0,5.6,4.2,-2.3,-3.3,-10.4,-9.8,-0.9,5.87,-0.47,-1.52
1910,-10.4,-14.3,-9.4,-3.1,0.1,2.4,6.6,7.7,2.4,-1.0,-5.3,-6.4,-11.7,-4.13,5.57,-1.3,-2.56
1911,-11.2,-13.7,-7.5,-3.2,-0.8,3.0,6.6,7.4,4.0,0.7,-3.7,-10.4,-10.43,-3.83,5.67,0.33,-2.4
1912,-7.7,-5.2,-7.0,-2.4,0.3,5.2,5.6,6.2,4.0,-1.5,-3.7,-7.6,-7.77,-3.03,5.67,-0.4,-1.15
1913,-9.5,-7.1,-10.7,-5.3,-0.3,4.9,5.4,4.8,3.5,-0.7,-8.0,-10.8,-8.07,-5.43,5.03,-1.73,-2.82
1914,-11.8,-10.2,-8.0,-5.0,-1.9,1.0,4.4,4.9,2.2,-0.7,-4.0,-12.0,-10.93,-4.97,3.43,-0.83,-3.43
1915,-11.3,-9.1,-5.0,-5.4,2.2,3.6,6.8,6.4,5.5,0.0,-1.2,-3.6,-10.8,-2.73,5.6,1.43,-0.93
1916,-7.5,-8.5,0.2,-3.8,2.9,5.3,6.2,7.6,5.5,-1.2,-3.1,-3.2,-6.53,-0.23,6.37,0.4,0.03
