Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1807,,,,,,,,4.1,3.4,-2.5,-5.9,-9.4,,,,-1.67,
1808,-23.8,-15.5,-12.9,-7.6,-2.4,3.8,7.0,,,,-10.0,-8.8,-16.23,-7.63,,,
1809,-10.8,-19.0,-10.3,-4.5,,,,,,,,,-12.87,,,,
1810,,,,,,,,,-4.1,-4.8,-6.2,-12.7,,,,-5.03,
1811,-20.3,-25.4,,,,,,4.1,-2.8,-4.6,-14.1,-15.5,-19.47,,,-7.17,
1812,-16.1,,,-7.4,-2.2,1.6,7.5,,,-4.6,-7.8,-7.9,,,,,
1813,-21.0,-16.2,-30.6,-14.3,-6.6,5.7,7.8,4.9,1.5,-2.1,-10.0,-12.3,-15.03,-17.17,6.13,-3.53,-7.77
1814,-10.9,-21.7,-24.1,-10.0,0.6,2.1,7.8,,,,-8.6,-8.7,-14.97,-11.17,,,
1815,-14.4,-23.0,-30.6,-15.5,-2.8,2.2,,,,,,,-15.37,-16.3,,,
1816,,,,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,,,,
1819,,,,,,,,,,,,,,,,,
1820,,,,,,,,,,,,,,,,,
1821,,,,,,,,,,,,,,,,,
1822,,,,,,,,,,,,,,,,,
1823,,,,,,,,,,-3.7,-8.2,-21.2,,,,,
1824,-16.1,-19.6,-16.0,-5.9,1.5,5.7,8.1,,,,,,-18.97,-6.8,,,
1825,,,,,,,5.4,,,-6.3,-13.6,-18.0,,,,,
1826,-18.4,,-20.4,-23.4,-3.1,-0.6,,,0.6,-5.1,-6.0,-11.8,,-15.63,,-3.5,
1827,-18.6,-7.4,-19.7,-10.5,-2.2,,,,,,,,-12.6,-10.8,,,
1828,,,,,,,,,,,,,,,,,
1829,,,,,,,,,,-3.9,-5.2,-10.8,,,,,
1830,-7.1,-15.8,-18.4,-7.8,,,,,2.9,-5.0,-10.7,-12.9,-11.23,,,-4.27,
1831,-12.1,-15.3,-15.5,-5.4,1.9,,,,,-8.2,-9.9,-9.7,-13.43,-6.33,,,
1832,-18.7,-25.2,-28.8,-10.8,,,,,,-8.0,-13.8,-24.8,-17.87,,,,
1833,-21.0,-20.7,-12.4,-7.6,,,,6.1,1.1,-7.1,-13.3,-22.6,-22.17,,,-6.43,
1834,-17.6,-24.1,-16.7,-8.3,-2.2,-4.9,6.2,,-5.8,-4.9,-7.5,-17.0,-21.43,-9.07,,-6.07,
1835,-26.6,-24.6,-21.1,-10.0,-0.1,2.1,,,,-6.9,-1.9,-8.8,-22.73,-10.4,,,
1836,-17.1,-21.1,-19.0,-14.9,-0.9,1.5,4.0,,1.1,-8.9,-15.4,-16.8,-15.67,-11.6,,-7.73,
1837,-21.3,-29.3,-12.7,-11.3,0.5,,,4.5,0.9,-7.8,-18.3,-20.7,-22.47,-7.83,,-8.4,
1838,-21.4,-15.0,-21.2,-10.0,1.5,,,,,-6.8,-7.6,-13.9,-19.03,-9.9,,,
1839,-20.2,-26.0,-17.8,-10.9,,,,,,-6.5,-10.7,-12.3,-20.03,,,,
1840,-17.1,-21.0,-6.0,-10.6,1.1,3.0,5.9,3.4,0.4,-4.6,-11.7,-13.0,-16.8,-5.17,4.1,-5.3,-5.85
1841,-13.8,-11.3,-16.0,-9.1,-1.4,1.6,5.1,3.8,0.6,-4.3,-11.8,-16.2,-12.7,-8.83,3.5,-5.17,-6.07
1842,-15.8,-23.6,-18.5,-10.6,0.5,2.9,6.0,3.5,0.7,-1.8,-11.8,-15.1,-18.53,-9.53,4.13,-4.3,-6.97
1843,-18.0,-12.9,-10.4,-7.1,0.3,4.8,5.4,4.0,1.0,-2.1,-13.6,-18.8,-15.33,-5.73,4.73,-4.9,-5.62
1844,-22.7,-19.7,-19.0,-17.2,-5.3,4.8,6.7,4.3,0.3,-2.7,-11.6,-11.9,-20.4,-13.83,5.27,-4.67,-7.83
1845,-18.1,-22.7,-13.2,-6.1,-0.6,2.9,9.0,5.6,1.1,-6.2,-9.1,-15.0,-17.57,-6.63,5.83,-4.73,-6.03
1846,-18.2,-16.0,-15.1,-6.4,0.3,1.7,5.3,4.9,1.6,-6.6,-8.3,-6.9,-16.4,-7.07,3.97,-4.43,-5.31
1847,-6.3,-8.0,-3.4,-3.9,2.1,4.3,4.9,3.5,0.7,-1.6,-13.4,-18.4,-7.07,-1.73,4.23,-4.77,-3.29
1848,-17.1,-18.3,-15.5,-6.6,2.2,5.8,8.4,5.5,2.1,-0.8,-6.6,-18.1,-17.93,-6.63,6.57,-1.77,-4.92
1849,-22.3,-22.4,-17.9,-5.5,1.4,4.9,5.6,5.0,2.2,-5.1,-11.1,-7.0,-20.93,-7.33,5.17,-4.67,-6.02
1850,-14.1,-23.1,-16.1,-9.1,2.3,5.4,7.0,5.1,2.6,-2.8,-9.7,-13.2,-14.73,-7.63,5.83,-3.3,-5.48
1851,-11.5,-19.2,-10.7,-6.6,-0.6,4.0,,,0.5,-3.4,-6.8,-14.6,-14.63,-5.97,,-3.23,
1852,,,,,,5.4,7.4,,1.7,-2.5,-7.6,-11.3,,,,-2.8,
1853,-20.7,-5.9,-17.2,-5.5,0.2,4.5,6.8,,-0.5,-6.1,-13.1,-13.5,-12.63,-7.5,,-6.57,
1854,-12.5,-21.5,-19.4,-13.3,-1.5,4.1,7.7,,,,,,-15.83,-11.4,,,
1855,-16.5,-14.0,-18.3,-17.4,-5.5,1.1,6.5,4.6,-0.6,-5.1,-7.6,-7.0,,-13.73,4.07,-4.43,-6.65
1856,-11.1,-9.0,-8.4,-8.4,-0.5,2.4,7.7,3.8,1.6,-3.4,-3.9,-10.3,-9.03,-5.77,4.63,-1.9,-3.29
1857,-14.4,-20.2,-15.6,-10.3,-1.3,6.9,7.4,5.9,1.2,-5.1,-8.2,-15.0,-14.97,-9.07,6.73,-4.03,-5.72
1858,-21.5,-19.6,-11.6,-13.4,-3.0,5.9,7.2,5.5,-0.6,-5.2,-6.5,-12.6,-18.7,-9.33,6.2,-4.1,-6.28
1859,-23.8,-24.8,-22.2,-9.9,3.4,3.2,6.0,4.3,1.6,-4.2,-8.1,-9.1,-20.4,-9.57,4.5,-3.57,-6.97
1860,-15.0,-11.0,-16.9,-9.8,2.0,5.3,7.2,4.8,1.0,-7.0,-5.6,-9.4,-11.7,-8.23,5.77,-3.87,-4.53
1861,-17.5,-18.5,-24.1,-16.5,-1.4,2.9,5.4,5.0,0.3,-6.4,-10.0,-11.3,-15.13,-14.0,4.43,-5.37,-7.67
1862,-19.8,-11.8,-19.9,-19.2,-1.8,2.5,6.3,5.5,0.4,-7.3,-10.9,-17.5,-14.3,-13.63,4.77,-5.93,-7.79
1863,-21.3,-31.3,-21.8,-14.7,-1.2,2.0,4.2,2.7,0.0,-7.9,-10.6,-24.1,-23.37,-12.57,2.97,-6.17,-10.33
1864,-21.4,-17.7,-14.1,-14.5,0.3,3.7,3.8,5.1,2.2,-1.6,-7.0,-9.0,-21.07,-9.43,4.2,-2.13,-5.85
1865,-19.0,-15.2,-11.6,-14.0,-0.9,0.6,7.0,2.1,-1.6,-1.7,-9.9,-14.4,-14.4,-8.83,3.23,-4.4,-6.55
1866,-22.9,-20.0,-15.0,-9.7,-0.7,2.5,6.1,3.4,-0.4,-6.9,-11.3,-17.8,-19.1,-8.47,4.0,-6.2,-7.72
