,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN,_merge
0,1807,,,,,,,,4.1,3.4,-2.5,-5.9,-9.4,,,,-1.67,,left_only
1,1808,-23.8,-15.5,-12.9,-7.6,-2.4,3.8,7.0,,,,-10.0,-8.8,-16.23,-7.63,,,,left_only
2,1809,-10.8,-19.0,-10.3,-4.5,,,,,,,,,-12.87,,,,,left_only
3,1810,,,,,,,,,-4.1,-4.8,-6.2,-12.7,,,,-5.03,,left_only
4,1811,-20.3,-25.4,,,,,,4.1,-2.8,-4.6,-14.1,-15.5,-19.47,,,-7.17,,left_only
5,1812,-16.1,,,-7.4,-2.2,1.6,7.5,,,-4.6,-7.8,-7.9,,,,,,left_only
6,1813,-21.0,-16.2,-30.6,-14.3,-6.6,5.7,7.8,4.9,1.5,-2.1,-10.0,-12.3,-15.03,-17.17,6.569801061007958,-3.53,-7.77,left_only
7,1814,-10.9,-21.7,-24.1,-10.0,0.6,2.1,7.8,,,,-8.6,-8.7,-14.97,-11.17,,,,left_only
8,1815,-14.4,-23.0,-30.6,-15.5,-2.8,2.2,,,,,,,-15.37,-16.3,,,,left_only
9,1816,,,,,,,,,,,,,,,,,,left_only
10,1817,,,,,,,,,,,,,,,,,,left_only
11,1818,,,,,,,,,,,,,,,,,,left_only
12,1819,,,,,,,,,,,,,,,,,,left_only
13,1820,,,,,,,,,,,,,,,,,,left_only
14,1821,,,,,,,,,,,,,,,,,,left_only
15,1822,,,,,,,,,,,,,,,,,,left_only
16,1823,,,,,,,,,,-3.7,-8.2,-21.2,,,,,,left_only
17,1824,-16.1,-19.6,-16.0,-5.9,1.5,5.7,8.1,,,,,,-18.97,-6.8,,,,left_only
18,1825,,,,,,,5.4,,,-6.3,-13.6,-18.0,,,,,,left_only
19,1826,-18.4,,-20.4,-23.4,-3.1,-0.6,,,0.6,-5.1,-6.0,-11.8,,-15.63,,-3.5,,left_only
20,1827,-18.6,-7.4,-19.7,-10.5,-2.2,,,,,,,,-12.6,-10.8,,,,left_only
21,1828,,,,,,,,,,,,,,,,,,left_only
22,1829,,,,,,,,,,-3.9,-5.2,-10.8,,,,,,left_only
23,1830,-7.1,-15.8,-18.4,-7.8,,,,,2.9,-5.0,-10.7,-12.9,-11.23,,,-4.27,,left_only
24,1831,-12.1,-15.3,-15.5,-5.4,1.9,,,,,-8.2,-9.9,-9.7,-13.43,-6.33,,,,left_only
25,1832,-18.7,-25.2,-28.8,-10.8,,,,,,-8.0,-13.8,-24.8,-17.87,,,,,left_only
26,1833,-21.0,-20.7,-12.4,-7.6,,,,6.1,1.1,-7.1,-13.3,-22.6,-22.17,,,-6.43,,left_only
27,1834,-17.6,-24.1,-16.7,-8.3,-2.2,-4.9,6.2,,-5.8,-4.9,-7.5,-17.0,-21.43,-9.07,,-6.07,,left_only
28,1835,-26.6,-24.6,-21.1,-10.0,-0.1,2.1,,,,-6.9,-1.9,-8.8,-22.73,-10.4,,,,left_only
29,1836,-17.1,-21.1,-19.0,-14.9,-0.9,1.5,4.0,,1.1,-8.9,-15.4,-16.8,-15.67,-11.6,,-7.73,,left_only
30,1837,-21.3,-29.3,-12.7,-11.3,0.5,,,4.5,0.9,-7.8,-18.3,-20.7,-22.47,-7.83,,-8.4,,left_only
31,1838,-21.4,-15.0,-21.2,-10.0,1.5,,,,,-6.8,-7.6,-13.9,-19.03,-9.9,,,,left_only
32,1839,-20.2,-26.0,-17.8,-10.9,,,,,,-6.5,-10.7,-12.3,-20.03,,,,,left_only
33,1840,-17.1,-21.0,-6.0,-10.6,1.1,3.0,5.9,3.4,0.4,-4.6,-11.7,-13.0,-16.8,-5.17,4.5398010610079575,-5.3,-5.85,left_only
34,1841,-13.8,-11.3,-16.0,-9.1,-1.4,1.6,5.1,3.8,0.6,-4.3,-11.8,-16.2,-12.7,-8.83,3.939801061007958,-5.17,-6.07,left_only
35,1842,-15.8,-23.6,-18.5,-10.6,0.5,2.9,6.0,3.5,0.7,-1.8,-11.8,-15.1,-18.53,-9.53,4.569801061007958,-4.3,-6.97,left_only
36,1843,-18.0,-12.9,-10.4,-7.1,0.3,4.8,5.4,4.0,1.0,-2.1,-13.6,-18.8,-15.33,-5.73,5.169801061007958,-4.9,-5.62,left_only
37,1844,-22.7,-19.7,-19.0,-17.2,-5.3,4.8,6.7,4.3,0.3,-2.7,-11.6,-11.9,-20.4,-13.83,5.7098010610079575,-4.67,-7.83,left_only
38,1845,-18.1,-22.7,-13.2,-6.1,-0.6,2.9,9.0,5.6,1.1,-6.2,-9.1,-15.0,-17.57,-6.63,6.269801061007958,-4.73,-6.03,left_only
39,1846,-18.2,-16.0,-15.1,-6.4,0.3,1.7,5.3,4.9,1.6,-6.6,-8.3,-6.9,-16.4,-7.07,4.409801061007958,-4.43,-5.31,left_only
40,1847,-6.3,-8.0,-3.4,-3.9,2.1,4.3,4.9,3.5,0.7,-1.6,-13.4,-18.4,-7.07,-1.73,4.669801061007958,-4.77,-3.29,left_only
41,1848,-17.1,-18.3,-15.5,-6.6,2.2,5.8,8.4,5.5,2.1,-0.8,-6.6,-18.1,-17.93,-6.63,7.009801061007958,-1.77,-4.92,left_only
42,1849,-22.3,-22.4,-17.9,-5.5,1.4,4.9,5.6,5.0,2.2,-5.1,-11.1,-7.0,-20.93,-7.33,5.609801061007958,-4.67,-6.02,left_only
43,1850,-14.1,-23.1,-16.1,-9.1,2.3,5.4,7.0,5.1,2.6,-2.8,-9.7,-13.2,-14.73,-7.63,6.269801061007958,-3.3,-5.48,left_only
44,1851,-11.5,-19.2,-10.7,-6.6,-0.6,4.0,,,0.5,-3.4,-6.8,-14.6,-14.63,-5.97,,-3.23,,left_only
45,1852,,,,,,5.4,7.4,,1.7,-2.5,-7.6,-11.3,,,,-2.8,,left_only
46,1853,-20.7,-5.9,-17.2,-5.5,0.2,4.5,6.8,,-0.5,-6.1,-13.1,-13.5,-12.63,-7.5,,-6.57,,left_only
47,1854,-12.5,-21.5,-19.4,-13.3,-1.5,4.1,7.7,,,,,,-15.83,-11.4,,,,left_only
48,1855,-16.5,-14.0,-18.3,-17.4,-5.5,1.1,6.5,4.6,-0.6,-5.1,-7.6,-7.0,,-13.73,4.509801061007958,-4.43,-6.65,left_only
49,1856,-11.1,-9.0,-8.4,-8.4,-0.5,2.4,7.7,3.8,1.6,-3.4,-3.9,-10.3,-9.03,-5.77,5.069801061007958,-1.9,-3.29,left_only
50,1857,-14.4,-20.2,-15.6,-10.3,-1.3,6.9,7.4,5.9,1.2,-5.1,-8.2,-15.0,-14.97,-9.07,7.169801061007958,-4.03,-5.72,left_only
51,1858,-21.5,-19.6,-11.6,-13.4,-3.0,5.9,7.2,5.5,-0.6,-5.2,-6.5,-12.6,-18.7,-9.33,6.639801061007958,-4.1,-6.28,left_only
52,1859,-23.8,-24.8,-22.2,-9.9,3.4,3.2,6.0,4.3,1.6,-4.2,-8.1,-9.1,-20.4,-9.57,4.939801061007958,-3.57,-6.97,left_only
53,1860,-15.0,-11.0,-16.9,-9.8,2.0,5.3,7.2,4.8,1.0,-7.0,-5.6,-9.4,-11.7,-8.23,6.2098010610079575,-3.87,-4.53,left_only
54,1861,-17.5,-18.5,-24.1,-16.5,-1.4,2.9,5.4,5.0,0.3,-6.4,-10.0,-11.3,-15.13,-14.0,4.869801061007958,-5.37,-7.67,left_only
55,1862,-19.8,-11.8,-19.9,-19.2,-1.8,2.5,6.3,5.5,0.4,-7.3,-10.9,-17.5,-14.3,-13.63,5.2098010610079575,-5.93,-7.79,left_only
56,1863,-21.3,-31.3,-21.8,-14.7,-1.2,2.0,4.2,2.7,0.0,-7.9,-10.6,-24.1,-23.37,-12.57,3.409801061007958,-6.17,-10.33,left_only
57,1864,-21.4,-17.7,-14.1,-14.5,0.3,3.7,3.8,5.1,2.2,-1.6,-7.0,-9.0,-21.07,-9.43,4.639801061007958,-2.13,-5.85,left_only
58,1865,-19.0,-15.2,-11.6,-14.0,-0.9,0.6,7.0,2.1,-1.6,-1.7,-9.9,-14.4,-14.4,-8.83,3.669801061007958,-4.4,-6.55,left_only
59,1866,-22.9,-20.0,-15.0,-9.7,-0.7,2.5,6.1,3.4,-0.4,-6.9,-11.3,-17.8,-19.1,-8.47,4.439801061007958,-6.2,-7.72,left_only
60,1867,-10.8,-21.6,-15.6,-9.7,0.1,3.4,8.3,5.9,1.5,-5.1,-5.2,-9.3,-16.73,-8.4,6.309801061007958,-2.93,-4.84,left_only
61,1868,-15.0,-30.4,-22.4,-9.6,-1.9,1.4,4.2,4.6,2.2,-7.0,-8.9,-12.7,-18.23,-11.3,3.839801061007958,-4.57,-7.96,left_only
62,1869,-19.5,-20.8,-11.7,-12.4,0.7,2.8,5.6,3.8,0.8,-1.2,-10.9,-13.4,-17.67,-7.8,4.509801061007958,-3.77,-6.35,left_only
63,1870,-14.5,-16.0,-21.4,-15.4,-2.9,2.9,5.8,6.3,-1.5,-4.5,-2.5,-5.4,-14.63,-13.23,5.439801061007958,-2.83,-5.76,left_only
64,1871,-16.9,-12.8,-23.9,-8.2,0.1,6.0,6.6,4.7,1.1,-3.0,-4.2,-6.8,-11.7,-10.67,6.2098010610079575,-2.03,-4.78,left_only
65,1872,-12.1,-8.8,-11.0,-5.5,-0.1,4.4,7.5,6.7,3.6,-3.2,-8.8,-8.7,-9.23,-5.53,6.639801061007958,-2.8,-3.0,left_only
66,1873,-18.3,-11.7,-17.7,-8.9,1.6,2.5,7.9,4.9,0.7,-5.1,-7.2,-14.7,-12.9,-8.33,5.5398010610079575,-3.87,-5.5,left_only
67,1874,-23.6,-15.2,-14.4,-7.0,3.3,4.9,7.6,6.1,1.2,-9.7,-7.3,-6.5,-17.83,-6.03,6.639801061007958,-5.27,-5.05,left_only
68,1875,-9.9,-12.4,-20.1,-6.0,-5.2,1.5,6.6,5.0,2.1,-1.3,-4.9,-8.5,-9.6,-10.43,4.809801061007958,-1.37,-4.43,left_only
69,1876,-17.5,-15.6,-13.6,-10.8,-1.2,3.3,5.9,5.2,4.1,-3.6,-7.0,-6.9,-13.87,-8.53,5.239801061007958,-2.17,-4.81,left_only
70,1877,-15.9,-17.0,-11.9,-6.5,1.9,5.6,6.7,6.6,4.4,-2.2,-10.7,-13.8,-13.27,-5.5,6.739801061007958,-2.83,-4.4,left_only
71,1878,-15.3,-16.7,-13.1,-6.9,-1.2,4.0,7.0,6.5,0.1,-3.6,-1.2,-2.6,-15.27,-7.07,6.269801061007958,-1.57,-3.58,left_only
