Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1948,-23.3,-29.8,-24.9,-15.6,-3.4,3.2,5.7,4.7,-2.1,-7.6,-16.3,-29.8,,,,,
1949,-26.7,-30.5,-22.3,-16.9,-3.2,3.3,7.0,5.6,-3.6,-11.2,-16.7,-23.2,,,,,
1950,-24.6,-27.5,-20.9,-18.6,-2.7,3.5,6.6,6.1,-2.5,-8.9,-12.9,-19.6,,,,,
1951,-26.6,-29.9,-22.8,-15.0,-2.2,2.4,5.1,3.7,-2.4,-14.8,-16.5,-26.5,,,,,
1952,-25.8,-25.0,-25.0,-15.1,-1.1,4.2,5.4,6.1,0.0,-9.3,-13.2,-17.2,,,,,
1953,-20.8,-26.2,-23.3,-7.7,-0.5,1.3,5.6,4.8,-1.4,-10.9,-21.7,-26.4,,,,,
1954,-23.2,-24.8,-23.5,-11.4,-2.8,2.8,5.2,5.1,-2.6,-8.5,-17.6,-24.3,,,,,
1955,-28.1,-26.3,-22.2,-17.8,-7.8,2.9,5.5,4.7,-1.9,-4.6,-17.2,-20.2,,,,,
1956,-23.2,-26.0,-26.0,-15.9,-6.5,1.2,5.6,4.7,-3.0,-8.1,-18.7,-21.8,,,,,
1957,-26.1,-21.7,-21.5,-17.6,-2.1,4.5,8.1,6.3,0.6,-11.3,-18.2,-22.1,,,,,
1958,-23.0,-22.4,-22.0,-20.5,-3.3,3.2,5.4,3.4,-4.7,-11.8,-21.8,-19.7,,,,,
1959,-18.1,-24.7,-26.5,-16.2,-5.4,2.1,3.9,4.1,-1.8,-9.7,-14.8,-20.7,,,,,
1960,-23.2,-23.0,-26.5,-16.8,-4.1,2.9,7.3,5.8,-2.3,-5.4,-14.2,-20.7,,,,,
1961,-28.0,-30.6,-27.5,-16.3,-7.2,1.9,5.6,5.5,-3.7,-10.7,-20.8,-22.2,,,,,
1962,-20.7,-26.9,-17.6,-15.3,-3.8,2.8,6.9,4.9,-3.6,-9.3,-14.0,-19.3,,,,,
1963,-18.1,-17.6,-22.6,-15.0,-4.9,2.1,4.5,5.3,-1.5,-10.9,-17.0,-18.1,,,,,
1964,-22.6,-21.4,-26.2,-19.0,-7.0,2.9,3.2,2.2,-2.7,-17.2,-21.6,-18.9,,,,,
1965,-23.0,-19.0,-22.9,-17.8,0.5,1.6,3.3,4.0,-2.5,-10.9,-11.9,-22.9,,,,,
1966,-28.2,-20.6,-24.3,-18.9,-5.6,2.0,3.6,5.0,-2.2,-9.3,-15.8,-23.5,,,,,
1967,-21.2,-25.6,-18.9,-15.6,-1.4,1.0,4.8,3.9,-2.5,-10.8,-20.1,-17.9,,,,,
1968,-26.4,-26.9,-24.2,-10.7,-3.3,2.1,5.8,3.8,-2.8,-8.0,-15.2,-20.6,,,,,
1969,-18.8,-21.3,-24.0,-15.7,-2.3,1.9,5.3,5.6,-1.3,-10.8,-17.6,-21.3,,,,,
1970,-24.8,-20.0,-20.5,-15.7,-7.4,1.7,3.9,3.0,-1.3,-7.0,-16.4,-22.4,,,,,
1971,-25.0,-26.8,-22.3,-17.5,-4.7,2.9,5.0,3.1,-1.4,-11.4,-20.6,-29.2,,,,,
1972,-25.4,-25.6,-23.4,-17.2,-4.5,0.8,2.6,4.2,-1.5,-7.6,-18.1,-27.5,,,,,
1973,-22.2,-30.5,-26.4,-13.8,-6.5,2.3,3.7,4.7,-2.0,-7.6,-16.2,-18.4,,,,,
