Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1807,,,,,,,,,,,-0.7,-1.2,,,,,
1808,-8.9,-5.0,-4.6,,,,,,,,-2.3,-3.2,-5.03,,,,
1809,-1.5,-3.3,-5.6,-0.8,1.5,2.5,5.6,5.4,3.6,-0.8,-1.5,-8.0,-2.67,-1.63,4.5,0.43,-0.24
1810,-8.2,-8.3,-2.8,-2.8,1.8,2.5,5.6,3.8,1.6,-0.5,-4.8,-4.4,-8.17,-1.27,3.97,-1.23,-1.37
1811,-11.5,-10.6,-13.0,-4.0,0.3,2.6,4.1,4.3,2.3,,-7.3,-6.0,-8.83,-5.57,3.67,,
1812,-5.0,-9.8,-4.2,,,,,,,,,,-6.93,,,,
1813,,,,,,,,,,,,,,,,,
1814,,,,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,,,
1816,,,,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,,,,
1819,,,,,,,,,,,,,,,,,
1820,,,,,,,,,,,,,,,,,
1821,,,,,,,,,,,,,,,,,
1822,,,,,,,,,,,,,,,,,
1823,,,,,,,,,,,,,,,,,
1824,,,,,,,,,,,,,,,,,
1825,,,,,,,,,,,,,,,,,
1826,,,,,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,,,,
1828,,,,,,,,,,0.0,-2.7,-7.6,,,,,
1829,-5.3,-3.6,1.3,2.4,,,,,,,-2.3,-7.1,-5.5,,,,
1830,-2.4,-4.9,-9.1,-1.2,,,,,,,,,-4.8,,,,
1831,,,,,,,,,,,,,,,,,
1832,,,,,,,,,,,,,,,,,
1833,,,,,,,,,,,,,,,,,
1834,,,,,,,,,,,,,,,,,
1835,,,,,,,,,,,,,,,,,
1836,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,
1838,,,,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,,,,
1840,,,,-0.9,3.7,6.1,7.2,6.3,3.2,0.4,-6.8,-8.0,,,6.53,-1.07,
1841,-9.8,-4.7,-4.8,-3.4,3.1,,,7.5,4.5,-0.6,-5.3,-6.5,-7.5,-1.7,,-0.47,
1842,-8.7,-11.0,-7.5,0.5,,,,,,,,,-8.73,,,,
1843,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,
1845,,,,,,,,,,,,,,,,,
1846,,,,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,,,,
1848,,,,,,,,,,,,,,,,,
1849,,,,,,,,,,,,,,,,,
1850,,,,,,,,,,,,,,,,,
1851,,,,,,,,,4.0,-0.5,1.9,-7.2,,,,1.8,
1852,-11.2,-3.6,-1.3,0.4,3.8,6.4,8.1,7.3,,,,,-7.33,0.97,7.27,,
1853,,,,,4.5,6.0,,7.7,1.7,1.3,-7.5,-4.7,,,,-1.5,
1854,-7.8,-9.5,-8.4,-1.8,-1.4,5.0,8.2,7.7,3.8,-0.3,-0.3,-7.5,-7.33,-3.87,6.97,1.07,-1.02
1855,-6.8,-3.5,-3.7,-2.1,3.0,5.4,7.2,6.9,3.2,0.6,-2.3,-2.4,-5.93,-0.93,6.5,0.5,0.46
1856,-1.2,0.6,-0.1,0.7,4.9,5.6,7.8,8.4,5.7,-0.6,1.9,-3.4,-1.0,1.83,7.27,2.33,2.52
1857,-6.0,-12.5,-4.8,-0.1,3.6,6.6,7.5,8.1,5.5,-1.5,-5.3,-7.8,-7.3,-0.43,7.4,-0.43,-0.56
1858,-9.9,-5.6,-1.6,0.3,2.9,5.7,,,,,,,-7.77,0.53,,,
1859,,,,,,,,,,,,,,,,,
1860,,,,,,,,,,,,,,,,,
1861,,,,,,,,,,,,,,,,,
1862,,,,,,,,,,,,-9.3,,,,,
1863,-14.8,-14.6,-10.6,-6.5,,,,,,,,,-12.9,,,,
1864,,,,,,,,,,,,,,,,,
1865,,,,,,,,,,,,,,,,,
1866,,,,,,,,,,,,,,,,,
1867,,,,,,,,,,,,,,,,,
1868,,,,,,,,,,,,,,,,,
1869,,,,,,,,,,,,,,,,,
1870,,,,,,,,,,,,,,,,,
1871,,,,,,,,,,,,,,,,,
1872,,,,,,,,,,,,,,,,,
1873,-9.9,-5.5,-6.8,0.1,3.6,3.6,5.3,3.5,2.6,-1.3,-3.0,-8.8,,-1.03,4.13,-0.57,-1.38
1874,-11.6,-6.9,-4.5,-3.1,3.9,3.6,5.4,3.3,1.9,-2.2,-4.4,-5.3,-9.1,-1.23,4.1,-1.57,-1.66
