Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1952,,,,,,-0.8300000000000001,4.218071428571428,0.7883333333333333,-7.514271255060729,-20.24367857142857,-25.138964285714287,-25.443214285714287,,,1.3924642857142855,-17.592807692307694,
1953,-28.06261904761905,-30.61183333333333,-34.17745614035087,-20.971785714285712,-9.269107142857143,2.3699999999999997,6.218071428571428,2.1883333333333335,-8.014271255060727,-18.44367857142857,-20.83896428571429,-27.34321428571429,-28.060428571428574,-21.47125,3.592464285714285,-15.732807692307693,-15.498916666666666
1954,-31.162619047619046,-28.311833333333333,-34.47745614035088,-23.871785714285714,-9.569107142857142,-0.43000000000000005,2.6180714285714286,0.8883333333333333,-7.514271255060729,-17.94367857142857,-25.23896428571429,-26.243214285714288,-28.960428571428576,-22.63125,1.0324642857142854,-16.86280769230769,-16.813916666666668
1955,-28.36261904761905,-31.811833333333333,-28.977456140350874,-24.571785714285713,-14.138214285714284,0.16999999999999996,2.1180714285714286,1.8883333333333332,-5.714271255060728,-16.343678571428573,-27.33896428571429,-28.34321428571429,-28.820428571428575,-22.6725,1.3924642857142855,-16.43280769230769,-16.687833333333334
1956,-30.662619047619046,-28.71183333333333,-33.27745614035088,-23.171785714285715,-15.869107142857143,-2.1300000000000003,6.218071428571428,2.288333333333333,-10.814271255060728,-20.53867857142857,-24.23896428571429,-20.64321428571429,-29.260428571428577,-24.10125,2.1324642857142853,-18.492807692307693,-17.118916666666664
1957,-31.36261904761905,-30.811833333333333,-28.877456140350876,-27.871785714285714,-10.269107142857143,-1.13,4.818071428571429,0.8883333333333333,-9.714271255060726,-15.843678571428573,-22.33896428571429,-31.743214285714288,-27.620428571428576,-22.33125,1.5324642857142854,-15.932807692307692,-16.55891666666667
1958,-24.46261904761905,-30.91183333333333,-26.077456140350876,-24.071785714285713,-10.069107142857142,-0.33000000000000007,3.5180714285714285,1.9883333333333333,-9.009271255060728,-20.343678571428573,-24.938964285714285,-26.443214285714287,-29.060428571428574,-20.07125,1.7324642857142853,-18.062807692307693,-16.148916666666665
1959,-31.56261904761905,-31.911833333333334,-31.977456140350874,-22.871785714285714,-11.469107142857142,-1.13,1.5180714285714285,-0.7116666666666667,-10.514271255060727,-18.343678571428573,-20.438964285714285,-26.54321428571429,-29.990428571428573,-22.10125,-0.1075357142857146,-16.39280769230769,-17.153916666666667
1960,-23.662619047619046,-31.71183333333333,-32.37245614035088,-25.271785714285713,-8.864107142857144,0.06999999999999995,4.818071428571429,1.7883333333333333,-7.9142712550607275,-20.24367857142857,-27.138964285714287,-31.64321428571429,-27.320428571428575,-22.166249999999998,2.2324642857142853,-18.39280769230769,-16.633916666666664
1961,-28.717619047619046,-32.496833333333335,-32.67745614035087,-22.17178571428571,-15.514107142857142,-1.81,4.073071428571429,2.868333333333333,-9.009271255060728,-17.19367857142857,-23.243964285714284,-27.673214285714288,-30.970428571428577,-23.45125,1.7124642857142853,-16.44780769230769,-17.143916666666666
1962,-29.357619047619046,-28.98183333333333,-26.792456140350872,-22.901785714285715,-10.0,-0.8800000000000001,4.168071428571428,2.6533333333333333,-7.014271255060728,-18.718678571428573,-22.568964285714287,-27.778214285714288,-28.690428571428576,-19.54125,1.9824642857142856,-16.062807692307693,-15.578916666666666
1963,-30.51761904761905,-30.80683333333333,-30.337456140350874,-22.466785714285713,-10.609107142857141,-1.0150000000000001,2.5980714285714286,3.418333333333333,-10.999271255060727,-19.60367857142857,-26.38396428571429,-29.313214285714288,-29.720428571428574,-21.13125,1.6674642857142854,-18.962807692307692,-17.098916666666668
1964,-30.34261904761905,-31.12683333333333,-28.402456140350875,-23.066785714285714,-13.609107142857143,-1.08,2.5280714285714287,2.5883333333333334,-10.869271255060728,-22.058678571428572,-27.828964285714285,-25.948214285714286,-30.275428571428577,-21.68625,1.3474642857142856,-20.217807692307694,-17.563916666666664
1965,-30.887619047619047,-27.87183333333333,-30.057456140350876,-23.321785714285713,-9.474107142857143,-1.03,2.7580714285714283,1.1433333333333333,-8.719271255060729,-19.38867857142857,-20.358964285714286,-28.34821428571429,-28.250428571428575,-20.94625,0.9574642857142854,-16.117807692307693,-16.193916666666667
1966,-32.70761904761905,-28.80683333333333,-35.74745614035088,-25.316785714285714,-9.314107142857143,0.21499999999999994,4.293071428571428,2.098333333333333,-8.574271255060728,-24.52367857142857,-26.18396428571429,-29.48321428571429,-29.970428571428577,-23.45625,2.2074642857142854,-19.722807692307693,-17.793916666666668
1967,-31.64761904761905,-34.99683333333333,-31.137456140350874,-18.756785714285712,-5.024107142857142,-1.175,4.418071428571428,2.6783333333333332,-6.924271255060728,-19.82867857142857,-26.89396428571429,-25.91321428571429,-32.060428571428574,-18.30125,1.9774642857142855,-17.847807692307693,-16.418916666666668
1968,-31.052619047619046,-33.80683333333333,-32.27745614035088,-24.401785714285715,-8.374107142857142,-0.675,2.0580714285714286,1.4633333333333334,-9.954271255060728,-20.76867857142857,-27.853964285714287,-30.19321428571429,-30.275428571428577,-21.68125,0.9524642857142855,-19.48780769230769,-17.808916666666665
1969,-28.75261904761905,-31.74683333333333,-34.42745614035088,-26.141785714285714,-8.934107142857142,-1.04,6.7880714285714285,2.8183333333333334,-9.049271255060729,-18.003678571428573,-24.823964285714286,-26.87821428571429,-30.245428571428576,-23.16125,2.8574642857142853,-17.257807692307694,-16.828916666666665
1970,-32.117619047619044,-33.13683333333333,-31.107456140350877,-25.35178571428571,-9.854107142857142,-1.565,2.2030714285714286,-0.8866666666666667,-8.409271255060728,-16.92867857142857,-25.618964285714284,-29.24821428571429,-30.725428571428573,-22.096249999999998,-0.0775357142857146,-16.94780769230769,-17.568916666666667
1971,-35.29261904761905,-27.27683333333333,-30.487456140350876,-20.861785714285713,-10.944107142857142,1.66,2.6380714285714286,1.288333333333333,-8.329271255060728,-21.16367857142857,-29.648964285714285,-30.44321428571429,-30.620428571428576,-20.76125,1.8624642857142852,-19.677807692307695,-17.348916666666668
1972,-24.98761904761905,-34.081833333333336,-26.102456140350874,-26.681785714285716,-11.0,0.4,,,,,,,-29.855428571428575,-21.06125,,,
1973,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,
1975,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,-25.393214285714286,,,,,
1982,,,,-25.74357142857143,-11.738214285714285,-1.6600000000000001,2.3361428571428573,-1.3233333333333335,-12.228542510121457,-18.27735714285714,,,,-23.5025,-0.20507142857142918,-18.825615384615386,-18.367833333333333
1983,-32.7252380952381,,,-25.74357142857143,-9.738214285714285,-1.6600000000000001,2.6180714285714286,0.2883333333333333,-9.614271255060729,-20.843678571428573,-26.638964285714287,-30.04321428571429,,-22.5025,0.45492857142857085,-18.992807692307693,-17.927833333333332
1984,-26.96261904761905,-26.511833333333332,-30.977456140350874,-23.871785714285714,-10.169107142857142,-0.23000000000000004,3.318071428571429,1.5883333333333334,-8.614271255060729,-20.14367857142857,-24.438964285714285,-21.84321428571429,-27.860428571428574,-21.67125,1.5624642857142854,-17.692807692307696,-16.078916666666665
1985,-27.86261904761905,-30.61183333333333,-30.577456140350876,-24.871785714285714,-12.369107142857143,0.87,5.018071428571429,2.1283333333333334,-7.549271255060728,-21.56867857142857,-26.673964285714288,-25.993214285714288,-26.790428571428574,-22.60125,2.6774642857142856,-18.562807692307693,-16.50391666666667
1986,-33.60761904761905,-26.456833333333332,-32.06745614035088,-23.811785714285712,-8.539107142857143,-0.38000000000000006,3.0380714285714285,4.133333333333333,-7.6,-20.9,-26.23896428571429,-21.77821428571429,-28.705428571428577,-21.46625,2.2674642857142855,-18.17,-16.258916666666664
1987,-27.46261904761905,-32.02683333333333,-30.127456140350873,-21.706785714285715,-9.544107142857143,0.43999999999999995,2.688071428571429,2.4883333333333333,-9.029271255060728,-19.59867857142857,-28.943964285714287,-31.028214285714288,-27.105428571428575,-20.45125,1.8724642857142852,-19.152807692307693,-16.563916666666664
1988,-32.13761904761905,-28.11183333333333,-31.257456140350875,-20.311785714285712,-7.694107142857142,0.76,4.948071428571429,4.398333333333333,-6.514271255060729,-17.74367857142857,-24.73896428571429,-26.64321428571429,-30.440428571428576,-19.74625,3.3724642857142855,-16.29280769230769,-15.598916666666668
1989,-32.96261904761905,-31.32183333333333,-33.22245614035087,-22.611785714285716,-9.844107142857142,2.11,5.213071428571428,,-12.41427125506073,-20.74367857142857,-25.61396428571429,-29.61321428571429,-30.330428571428577,-21.886249999999997,3.764928571428571,-19.55780769230769,-17.48783333333333
1990,-24.592619047619046,-31.53683333333333,-32.047456140350874,-19.751785714285713,-7.824107142857143,1.12,3.9280714285714287,3.163333333333333,-5.359271255060728,-21.21367857142857,-24.778964285714288,-28.09321428571429,-28.600428571428576,-19.87125,2.7424642857142856,-17.077807692307694,-15.648916666666668
1991,-30.387619047619047,-33.47183333333333,-29.412456140350876,-23.35178571428571,-9.929107142857141,1.52,4.573071428571429,2.8983333333333334,-6.604271255060729,-19.40367857142857,-24.16896428571429,-28.04321428571429,-30.665428571428574,-20.896250000000002,3.002464285714286,-16.687807692307693,-16.313916666666664
1992,-31.652619047619048,-29.84183333333333,-29.442456140350874,-21.821785714285713,-12.294107142857142,-1.7400000000000002,2.2530714285714284,-0.3316666666666667,-8.084271255060727,-19.78367857142857,-23.743964285714288,-28.56821428571429,-29.865428571428573,-21.18125,0.06746428571428542,-17.167807692307694,-17.07391666666667
1993,-34.58761904761905,-28.68183333333333,-34.757456140350875,-21.766785714285714,-10.134107142857143,-0.72,5.538071428571429,2.798333333333333,-8.794271255060728,-18.52867857142857,-22.97396428571429,-30.34321428571429,-30.630428571428574,-22.216250000000002,2.5424642857142854,-16.732807692307695,-16.833916666666667
